row index,Project,State/ Province,Country,Principal Deposit type,Total Mineral Resource Mt (Tonnes of Million),Column 6,Column 7
121,Two Tom,Labrador,Canada,Alkaline,44.3,Y ppm,29.135050395904557
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,La ppm,1033.6140759162438
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Ce ppm,2227.8089517998
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Pr ppm,247.73497901372573
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Nd ppm,953.5370353264649
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Sm ppm,207.41822869877103
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Eu ppm,8.987122006890758
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Gd ppm,201.4116532327547
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Tb ppm,40.19252300426614
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Dy ppm,275.693703181922
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Ho ppm,60.14722744012338
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Er ppm,190.57323243789284
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Tm ppm,28.047803462734187
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Yb ppm,192.0893808170417
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Lu ppm,27.811285998456285
123,Strange Lake,Quebec,Canada,Alkaline ,492.479,Y ppm,1709.5612846669635
124,Elliot Lake,,Canada,Alluvial/Placer,51.602,La ppm,406.3291539087632
124,Elliot Lake,,Canada,Alluvial/Placer,51.602,Ce ppm,718.1356924150226
124,Elliot Lake,,Canada,Alluvial/Placer,51.602,Pr ppm,70.88970001162747
124,Elliot Lake,,Canada,Alluvial/Placer,51.602,Nd ppm,235.80653850625947
