row index,Country,Project,Status,Location Lat,Location Long,Mine Type,Company,Economic Mineralogy,Principal Process,Column 9,Mt,Column 11,Column 12
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Probable,13.600000000000001,g/t Au,0.08737470588235292
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Probable,13.600000000000001,%Ni,0.15823529411764706
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Probable,13.600000000000001,g/t Pt,2.809469411764706
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Probable,13.600000000000001,g/t Pd,1.291066470588235
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Probable,13.600000000000001,g/t Rh,0.4044423529411765
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Probable,13.600000000000001,%Cr,13.989816764452407
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Measured,179.9,%Cu,0.019883268482490273
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Measured,179.9,g/t Au,0.20146092273485267
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Measured,179.9,%Ni,0.13694274596998332
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Measured,179.9,g/t Pt,3.464008643690939
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Measured,179.9,g/t Pd,1.650860339077265
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Measured,179.9,g/t Rh,0.2854029738743746
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Measured,179.9,%Cr,18.744298137206904
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Indicated,92.1,%Cu,0.045646036916395225
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Indicated,92.1,g/t Au,0.22676833876221494
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Indicated,92.1,%Ni,0.18110749185667754
18,South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,Indicated,92.1,g/t Pt,3.8991556026058634
