deposit_no,deposit_name,country,longdd,latdd,tonnage,tonnage_unit,category,commodity,grade,grade_unit,cutoff_grade,cutoff_grade_unit,year
23,Pirquitas,Argentina,-66.5,-22.7,21.65,million metric tons,Proven + Probable,Ag,167.1,grams/metric ton,,,1999
23,Pirquitas,Argentina,-66.5,-22.7,21.65,million metric tons,Proven + Probable,Sn,0.33,percent,,,1999
23,Pirquitas,Argentina,-66.5,-22.7,72978.0,metric tons,,Ag,2.07,kilograms/metric ton,1.0,kilograms/metric ton,1940
23,Pirquitas,Argentina,-66.5,-22.7,72978.0,metric tons,,Sn,3.26,percent,2.0,percent,1940
23,Pirquitas,Argentina,-66.5,-22.7,21.65,million metric tons,Proven + Probable,Zn,0.57,percent,,,1999
23,Pirquitas,Argentina,-66.5,-22.7,21.65,million metric tons,Proven + Probable,Ag,167.1,grams/metric ton,,,1999
23,Pirquitas,Argentina,-66.5,-22.7,21.65,million metric tons,Proven + Probable,Sn,0.33,percent,,,1999
23,Pirquitas,Argentina,-66.5,-22.7,72978.0,metric tons,,Ag,2.07,kilograms/metric ton,1.0,kilograms/metric ton,1940
23,Pirquitas,Argentina,-66.5,-22.7,72978.0,metric tons,,Sn,3.26,percent,2.0,percent,1940
24,San Antonio,Argentina,-67.2333333333333,-27.8166666666667,46245.0,metric tons,,WO3,1.2,percent,,,1991
25,Pircas,Argentina,-66.4666666666667,-22.7166666666667,415.0,metric tons,,Sn,60.0,percent,,,1999
26,San Martin,Argentina,-66.0833333333333,-40.3833333333333,500000.0,metric tons,,WO3,0.7,percent,,,1999
27,Vil Achay,Argentina,-67.4666666666667,-27.8833333333333,25730.0,metric tons,Inferred,Sn,1.0,percent,,,1999
27,Vil Achay,Argentina,-67.4666666666667,-27.8833333333333,115930.0,metric tons,Indicated,Sn,1.0,percent,,,1999
27,Vil Achay,Argentina,-67.4666666666667,-27.8833333333333,25730.0,metric tons,Inferred,Sn,1.0,percent,,,1999
27,Vil Achay,Argentina,-67.4666666666667,-27.8833333333333,115930.0,metric tons,Indicated,Sn,1.0,percent,,,1999
28,Yolanda,Argentina,-66.0166666666667,-32.65,67500.0,metric tons,,SnO2,1.5,percent,,,1999
29,Great Northern East,Australia,145.389444444444,-17.3836111111111,,,,Sn,,,,,
30,Great Northern Gully,Australia,145.387777777778,-17.3838888888889,,,,Sn,,,,,
