Deposit,Country,Primary Deposit Type,Secondary Deposit Type,,Company,Source,Mt ore,%Zn
Eclipse,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,Geol Innuit 1991,1,13
Ecstall,Canada,VMS,,NC,Atna Resources,BC OFR (1998-10),6.35,2.5
Ericksen-Ashby,Canada,Skarn,,NC,unknown,BC OFR (1998-10),0.907,3.8
Errington,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,9,4.03
Esker,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,Min Deps Canada 2007 Paradis et al,1.9,3.5
Estrades-Caribou,Canada,VMS,,C,Cogitore Resources,Tech Rep (2008-12),0.791,9.29
Explo-Zinc (Kistabiche),Canada,VMS,,C,Cancor Mines,Ann Info Form 2008,0.588,7.63
Faro,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,4.42,14.1
Fault Creek,Canada,VMS,,C,unknown,Fyre Lake Tech Rep (Pacific Ridge),0.05,7.1
Fireweed,Canada,Sediment-hosted Pb-Zn,Sedex,NC,Regulus Resources (formerly Jandar Res.),Tech Rep (2006-03; Jandar Res.),0.581,2.22
Gayna River,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown (Eagle Plains Res.??),Min Deps Canada 2007 Paradis et al,50,4.7
George Lake,Canada,VMS,,NC,unknown (formerly Golden Arch Resources?),Tech Rep (2007-04),2.631,3.67
Goz Creek (Barrier Reef),Canada,Sediment-hosted Pb-Zn,MVT,C,unknown,Yukon Gov't Zn profile,2.495,11
GP4F,Canada,VMS,,C,Shaanxi Non-ferrous Metals Holding Group Co Ltd,Yukon Gov't Zn profile,1.5,6.4
Gray Rock,Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.07,
Grizzly (Dy),Canada,Sediment-hosted Pb-Zn,Sedex,C,unknown,Yukon Gov't Zn profile,17.24,6.39
Groundhog (Jeff-Lorne),Canada,Epithermal?,,NC,unknown (Prism Reosurces?),Yukon Gov't Zn profile,0.201,4.01
