Country,Project,Lat,Long,Company,Category,Mt ore,%Ni
Australia,Sunrise-Syerston,,,CleanTeq Holdings,Measured,68.8,0.63
Australia,Sunrise-Syerston,,,CleanTeq Holdings,Indicated,93.9,0.47
Australia,Sunrise-Syerston,,,CleanTeq Holdings,Inferred,20.6,0.23
Australia,Sconi South-Greenvale,,,Australian Mines,Measured,5.4,0.77
Australia,Sconi South-Greenvale,,,Australian Mines,Indicated,10.5,0.71
Australia,Sconi South-Greenvale,,,Australian Mines,Inferred,11.5,0.43
Australia,Leinster,,,BHP Group,Measured,23.0,1.61
Australia,Leinster,,,BHP Group,Indicated,88.0,0.67
Australia,Leinster,,,BHP Group,Inferred,100.4,0.65
Australia,Mount Keith,,,BHP Group,Measured,151,0.54
Australia,Mount Keith,,,BHP Group,Indicated,67,0.52
Australia,Mount Keith,,,BHP Group,Inferred,24,0.52
Australia,Cliffs,,,BHP Group,Measured,0.87,3.4
Australia,Cliffs,,,BHP Group,Indicated,5.1,1.6
Australia,Cliffs,,,BHP Group,Inferred,3.52,1.4
Australia,Yakabindie,,,BHP Group,Measured,156,0.59
Australia,Yakabindie,,,BHP Group,Indicated,113,0.62
Australia,Yakabindie,,,BHP Group,Inferred,171,0.61
Australia,Venus,,,BHP Group,Measured,0,
Australia,Venus,,,BHP Group,Indicated,0.47,2.4
Australia,Venus,,,BHP Group,Inferred,6.9,2.6
Australia,Jericho,,,BHP Group,Measured,0,
Australia,Jericho,,,BHP Group,Indicated,0,
Australia,Jericho,,,BHP Group,Inferred,31,0.59
Australia,Honeymoon Well Group (sulfide),,,Norilsk Nickel,Measured,0,
Australia,Honeymoon Well Group (sulfide),,,Norilsk Nickel,Indicated,173.3,0.68
Australia,Honeymoon Well Group (sulfide),,,Norilsk Nickel,Inferred,11.9,0.68
Australia,Thunderbox-Waterloo / Amorac,,,Saracen Mineral Holdings,Measured,0,
Australia,Thunderbox-Waterloo / Amorac,,,Saracen Mineral Holdings,Indicated,0,
Australia,Thunderbox-Waterloo / Amorac,,,Saracen Mineral Holdings,Inferred,0.68,2.1
Australia,Kambalda-Blair,,,Pioneer Resources,Measured,0,
Australia,Kambalda-Blair,,,Pioneer Resources,Indicated,0.076,4.37
Australia,Kambalda-Blair,,,Pioneer Resources,Inferred,0.15,2.18
Australia,Cosmos Group,,,Western Areas,Measured,0,
Australia,Cosmos Group,,,Western Areas,Indicated,9.476,2.5
Australia,Cosmos Group,,,Western Areas,Inferred,0.926,3.6
Australia,Mount Goode,,,Western Areas,Measured,13.563,0.8
Australia,Mount Goode,,,Western Areas,Indicated,27.363,0.6
Australia,Mount Goode,,,Western Areas,Inferred,12.009,0.5
Australia,Kambalda-Mincor Group,,,Mincor Resources,Measured,0.269,3.7
Australia,Kambalda-Mincor Group,,,Mincor Resources,Indicated,2.753,3.5
Australia,Kambalda-Mincor Group,,,Mincor Resources,Inferred,0.726,3.8
Australia,Kambalda-Lanfranchi Group,,,Panoramic Resources,Measured,0.18,3.74
Australia,Kambalda-Lanfranchi Group,,,Panoramic Resources,Indicated,2.517,1.73
Australia,Kambalda-Lanfranchi Group,,,Panoramic Resources,Inferred,2.956,1.52
Australia,Kambalda-Beta Hunt Group,,,RNC Minerals,Measured,0.096,4.6
Australia,Kambalda-Beta Hunt Group,,,RNC Minerals,Indicated,0.283,4.0
Australia,Kambalda-Beta Hunt Group,,,RNC Minerals,Inferred,0.216,3.4
Australia,Spotted Quoll-Beautiful Sunday,,,Western Areas,Measured,0.368,5.9
Australia,Spotted Quoll-Beautiful Sunday,,,Western Areas,Indicated,1.802,4.7
Australia,Spotted Quoll-Beautiful Sunday,,,Western Areas,Inferred,0.181,5.6
Australia,Diggers,,,Western Areas,Measured,0,
Australia,Diggers,,,Western Areas,Indicated,8.415,1.0
Australia,Diggers,,,Western Areas,Inferred,1.613,0.7
Australia,Kambalda-Independence Group,,,Independence Group,Measured,0,
Australia,Kambalda-Independence Group,,,Independence Group,Indicated,0.4,4.01
Australia,Kambalda-Independence Group,,,Independence Group,Inferred,0.35,4.4
Australia,Flying Fox-Lounge Lizard,,,Western Areas,Measured,0,
Australia,Flying Fox-Lounge Lizard,,,Western Areas,Indicated,6.145,1.9
Australia,Flying Fox-Lounge Lizard,,,Western Areas,Inferred,0.691,1.7
Australia,Windarra Group,,,Poseidon Nickel,Measured,0,
Australia,Windarra Group,,,Poseidon Nickel,Indicated,4.467,1.27
Australia,Windarra Group,,,Poseidon Nickel,Inferred,5.214,1.75
Australia,Radio Hill,,,Artemis Resources,Measured,0,
Australia,Radio Hill,,,Artemis Resources,Indicated,1.98,0.61
Australia,Radio Hill,,,Artemis Resources,Inferred,2.04,0.42
Australia,Black Swan-Silver Swan,,,Poseidon Nickel,Measured,0,
Australia,Black Swan-Silver Swan,,,Poseidon Nickel,Indicated,9.652,0.73
Australia,Black Swan-Silver Swan,,,Poseidon Nickel,Inferred,21.184,0.57
Australia,Lake Johnston-Maggie Hays,,,Poseidon Nickel,Measured,0,
Australia,Lake Johnston-Maggie Hays,,,Poseidon Nickel,Indicated,2.6,1.60
Australia,Lake Johnston-Maggie Hays,,,Poseidon Nickel,Inferred,0.9,1.17
Australia,New Morning-Daybreak,,,Western Areas,Measured,0,
Australia,New Morning-Daybreak,,,Western Areas,Indicated,3.659,1.4
Australia,New Morning-Daybreak,,,Western Areas,Inferred,2.575,1.4
Australia,Nepean,,,Focus Minerals,Measured,0,
Australia,Nepean,,,Focus Minerals,Indicated,0,
Australia,Nepean,,,Focus Minerals,Inferred,0.591,2.2
Australia,Cosmic Boy-Seagull,,,Western Areas,Measured,0,
Australia,Cosmic Boy-Seagull,,,Western Areas,Indicated,0.376,2.4
Australia,Cosmic Boy-Seagull,,,Western Areas,Inferred,0,
Australia,Wildara-The Horn,,,Minotaur Exploration,Measured,0,
Australia,Wildara-The Horn,,,Minotaur Exploration,Indicated,0,
Australia,Wildara-The Horn,,,Minotaur Exploration,Inferred,0.6,1.39
Australia,Scotia Group,,,Minotaur Exploration,Measured,0,
Australia,Scotia Group,,,Minotaur Exploration,Indicated,0,
Australia,Scotia Group,,,Minotaur Exploration,Inferred,0.221,3.0
Australia,Saints,,,Minotaur Exploration,Measured,0,
